"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|CH","Actual Total Load [MW] - BZN|CH"
"12.01.2017 11:00 - 12.01.2017 12:00","9805","8685"
"12.01.2017 12:00 - 12.01.2017 13:00","9104","8633"
"12.01.2017 13:00 - 12.01.2017 14:00","9097","8331"
"12.01.2017 14:00 - 12.01.2017 15:00","9465","8358"
"12.01.2017 15:00 - 12.01.2017 16:00","9468","8298"
"12.01.2017 16:00 - 12.01.2017 17:00","9372","8253"
"12.01.2017 17:00 - 12.01.2017 18:00","9519","8340"
"12.01.2017 18:00 - 12.01.2017 19:00","9462","8533"
"12.01.2017 19:00 - 12.01.2017 20:00","9113","8469"
"12.01.2017 20:00 - 12.01.2017 21:00","8791","8181"
"12.01.2017 21:00 - 12.01.2017 22:00","8640","7999"
"12.01.2017 22:00 - 12.01.2017 23:00","8098","7535"
"12.01.2017 23:00 - 13.01.2017 00:00","7879","7340"
"13.01.2017 00:00 - 13.01.2017 01:00","7916","6974"
"13.01.2017 01:00 - 13.01.2017 02:00","7912","7194"
"13.01.2017 02:00 - 13.01.2017 03:00","7348","7231"
"13.01.2017 03:00 - 13.01.2017 04:00","8195","7346"
"13.01.2017 04:00 - 13.01.2017 05:00","8107","7355"
"13.01.2017 05:00 - 13.01.2017 06:00","7750","7279"
"13.01.2017 06:00 - 13.01.2017 07:00","8225","7382"
"13.01.2017 07:00 - 13.01.2017 08:00","9061","7565"
"13.01.2017 08:00 - 13.01.2017 09:00","9575","8199"
"13.01.2017 09:00 - 13.01.2017 10:00","9691","8662"
"13.01.2017 10:00 - 13.01.2017 11:00","9842","8719"
"13.01.2017 11:00 - 13.01.2017 12:00","9592","8811"
"13.01.2017 12:00 - 13.01.2017 13:00","9424","8537"
"13.01.2017 13:00 - 13.01.2017 14:00","9605","8390"
"13.01.2017 14:00 - 13.01.2017 15:00","9608","8406"
"13.01.2017 15:00 - 13.01.2017 16:00","9319","8252"
"13.01.2017 16:00 - 13.01.2017 17:00","9142","8127"
"13.01.2017 17:00 - 13.01.2017 18:00","9355","8104"
"13.01.2017 18:00 - 13.01.2017 19:00","9648","8364"
"13.01.2017 19:00 - 13.01.2017 20:00","9448","8372"
"13.01.2017 20:00 - 13.01.2017 21:00","8861","8076"
"13.01.2017 21:00 - 13.01.2017 22:00","8174","7639"
"13.01.2017 22:00 - 13.01.2017 23:00","8298","7249"
"13.01.2017 23:00 - 14.01.2017 00:00","8282","7140"
"14.01.2017 00:00 - 14.01.2017 01:00","8286","7152"
"14.01.2017 01:00 - 14.01.2017 02:00","7909","7779"
"14.01.2017 02:00 - 14.01.2017 03:00","7815","7721"
"14.01.2017 03:00 - 14.01.2017 04:00","7574","7630"
"14.01.2017 04:00 - 14.01.2017 05:00","7654","7498"
"14.01.2017 05:00 - 14.01.2017 06:00","7486","7289"
"14.01.2017 06:00 - 14.01.2017 07:00","7410","6942"
"14.01.2017 07:00 - 14.01.2017 08:00","7433","7013"
"14.01.2017 08:00 - 14.01.2017 09:00","7626","7110"
"14.01.2017 09:00 - 14.01.2017 10:00","7916","7396"
"14.01.2017 10:00 - 14.01.2017 11:00","7843","7060"
"14.01.2017 11:00 - 14.01.2017 12:00","7842","7211"
"14.01.2017 12:00 - 14.01.2017 13:00","8149","7387"
"14.01.2017 13:00 - 14.01.2017 14:00","7974","7475"
"14.01.2017 14:00 - 14.01.2017 15:00","7925","7839"
"14.01.2017 15:00 - 14.01.2017 16:00","7941","7888"
"14.01.2017 16:00 - 14.01.2017 17:00","7940","7899"
"14.01.2017 17:00 - 14.01.2017 18:00","8592","7952"
"14.01.2017 18:00 - 14.01.2017 19:00","8699","7694"
